state_id,machine_nr,state_code,state_desc,start_time,end_time
S0001694,M000001,3-Idle,Idle,2025-12-07T05:32:46,2025-12-07T07:29:57
S0000027,M000001,2-Stand By,Stand By,2025-12-07T07:29:57,2025-12-07T07:40:15
S0001695,M000001,3-Idle,Idle,2025-12-07T07:40:15,2025-12-08T04:32:04
S0000028,M000001,2-Stand By,Stand By,2025-12-08T04:32:04,2025-12-08T04:47:01
S0001696,M000001,3-Idle,Idle,2025-12-08T04:47:01,2025-12-08T06:05:41
S0000029,M000001,1-P,Productive,2025-12-08T06:05:41,2025-12-08T06:50:01
S0001697,M000001,3-Idle,Idle,2025-12-08T06:50:01,2025-12-08T11:16:31
S0000030,M000001,2-Stand By,Stand By,2025-12-08T11:16:31,2025-12-08T11:27:31
S0001698,M000001,3-Idle,Idle,2025-12-08T11:27:31,2025-12-09T00:03:09
S0000031,M000001,1-P,Productive,2025-12-09T00:03:09,2025-12-09T01:24:37
S0001699,M000001,3-Idle,Idle,2025-12-09T01:24:37,2025-12-09T07:33:56
S0000032,M000001,2-Stand By,Stand By,2025-12-09T07:33:56,2025-12-09T07:46:59
S0001700,M000001,3-Idle,Idle,2025-12-09T07:46:59,2025-12-09T22:49:55
S0000033,M000001,1-P,Productive,2025-12-09T22:49:55,2025-12-09T23:59:59.999999
S0001701,M000001,3-Idle,Idle,2025-12-09T23:59:59.999999,2025-12-10T11:35:27
S0000034,M000001,1-P,Productive,2025-12-10T11:35:27,2025-12-10T15:16:55
S0001702,M000001,3-Idle,Idle,2025-12-10T15:16:55,2025-12-10T17:50:22
S0000035,M000001,2-Stand By,Stand By,2025-12-10T17:50:22,2025-12-10T18:48:46
S0001703,M000001,3-Idle,Idle,2025-12-10T18:48:46,2025-12-10T23:00:49
S0000036,M000001,2-Stand By,Stand By,2025-12-10T23:00:49,2025-12-10T23:02:37
S0001704,M000001,3-Idle,Idle,2025-12-10T23:02:37,2025-12-11T00:18:26
S0000037,M000001,2-Stand By,Stand By,2025-12-11T00:18:26,2025-12-11T00:46:55
S0001705,M000001,3-Idle,Idle,2025-12-11T00:46:55,2025-12-11T20:48:24
S0000038,M000001,1-P,Productive,2025-12-11T20:48:24,2025-12-11T22:25:52
S0000039,M000001,1-P,Productive,2025-12-11T21:42:21,2025-12-11T22:25:52
S0001706,M000001,3-Idle,Idle,2025-12-11T22:25:52,2025-12-12T00:02:14
S0000040,M000001,1-P,Productive,2025-12-12T00:02:14,2025-12-12T05:42:02
S0001707,M000001,3-Idle,Idle,2025-12-12T05:42:02,2025-12-12T21:11:34
S0000041,M000001,2-Stand By,Stand By,2025-12-12T21:11:34,2025-12-12T21:12:27
S0001708,M000001,3-Idle,Idle,2025-12-12T21:12:27,2025-12-12T23:27:43
S0000042,M000001,1-P,Productive,2025-12-12T23:27:43,2025-12-12T23:59:59.999999
S0001709,M000001,3-Idle,Idle,2025-12-12T23:59:59.999999,2025-12-13T22:45:30
S0000043,M000001,1-P,Productive,2025-12-13T22:45:30,2025-12-13T23:59:59.999999
S0001710,M000001,3-Idle,Idle,2025-12-13T23:59:59.999999,2025-12-14T04:25:43
S0000044,M000001,1-P,Productive,2025-12-14T04:25:43,2025-12-14T09:17:58
S0001711,M000001,3-Idle,Idle,2025-12-14T09:17:58,2025-12-14T13:54:21
S0000045,M000001,1-P,Productive,2025-12-14T13:54:21,2025-12-14T19:03:08
S0001712,M000001,3-Idle,Idle,2025-12-14T19:03:08,2025-12-15T01:14:38
S0000046,M000001,1-P,Productive,2025-12-15T01:14:38,2025-12-15T05:29:11
S0000047,M000002,2-Stand By,Stand By,2025-11-25T05:45:36,2025-11-25T05:55:00
S0001713,M000002,3-Idle,Idle,2025-11-25T05:55:00,2025-11-25T15:09:08
S0000048,M000002,1-P,Productive,2025-11-25T15:09:08,2025-11-25T17:08:58
S0001714,M000002,3-Idle,Idle,2025-11-25T17:08:58,2025-11-26T04:30:39
S0000049,M000002,2-Stand By,Stand By,2025-11-26T04:30:39,2025-11-26T05:20:09
S0001715,M000002,3-Idle,Idle,2025-11-26T05:20:09,2025-11-27T19:52:07
S0000050,M000002,2-Stand By,Stand By,2025-11-27T19:52:07,2025-11-27T20:41:24
S0001716,M000002,3-Idle,Idle,2025-11-27T20:41:24,2025-11-28T09:13:45
S0000051,M000002,1-P,Productive,2025-11-28T09:13:45,2025-11-28T13:01:21
S0000052,M000002,2-Stand By,Stand By,2025-11-28T12:36:24,2025-11-28T13:28:22
S0001717,M000002,3-Idle,Idle,2025-11-28T13:28:22,2025-11-28T23:56:27
S0000053,M000002,2-Stand By,Stand By,2025-11-28T23:56:27,2025-11-28T23:59:59.999999
S0001718,M000002,3-Idle,Idle,2025-11-28T23:59:59.999999,2025-11-29T07:25:26
S0000054,M000002,1-P,Productive,2025-11-29T07:25:26,2025-11-29T10:31:56
S0001719,M000002,3-Idle,Idle,2025-11-29T10:31:56,2025-11-29T10:58:15
S0000055,M000002,1-P,Productive,2025-11-29T10:58:15,2025-11-29T14:18:00
S0001720,M000002,3-Idle,Idle,2025-11-29T14:18:00,2025-11-29T18:38:48
S0000056,M000002,1-P,Productive,2025-11-29T18:38:48,2025-11-30T10:54:05
S0000057,M000002,5-Err,Error,2025-11-29T19:01:20,2025-11-30T07:34:55
S0000058,M000002,1-P,Productive,2025-11-30T07:34:55,2025-11-30T10:54:05
S0001721,M000002,3-Idle,Idle,2025-11-30T10:54:05,2025-12-01T01:58:22
S0000059,M000002,1-P,Productive,2025-12-01T01:58:22,2025-12-01T04:31:27
S0000060,M000002,1-P,Productive,2025-12-01T03:28:20,2025-12-01T04:31:27
S0001722,M000002,3-Idle,Idle,2025-12-01T04:31:27,2025-12-01T06:16:25
S0000061,M000002,2-Stand By,Stand By,2025-12-01T06:16:25,2025-12-01T06:56:51
S0001723,M000002,3-Idle,Idle,2025-12-01T06:56:51,2025-12-02T07:05:38
S0000062,M000002,1-P,Productive,2025-12-02T07:05:38,2025-12-02T10:18:49
S0000063,M000002,2-Stand By,Stand By,2025-12-02T09:30:05,2025-12-02T09:58:09
S0001724,M000002,3-Idle,Idle,2025-12-02T09:58:09,2025-12-02T14:30:18
S0000064,M000002,2-Stand By,Stand By,2025-12-02T14:30:18,2025-12-02T14:49:50
S0001725,M000002,3-Idle,Idle,2025-12-02T14:49:50,2025-12-03T06:03:02
S0000065,M000002,2-Stand By,Stand By,2025-12-03T06:03:02,2025-12-03T06:52:53
S0001726,M000002,3-Idle,Idle,2025-12-03T06:52:53,2025-12-03T14:57:42
S0000066,M000002,2-Stand By,Stand By,2025-12-03T14:57:42,2025-12-03T15:48:47
S0001727,M000002,3-Idle,Idle,2025-12-03T15:48:47,2025-12-03T23:29:46
S0000067,M000002,2-Stand By,Stand By,2025-12-03T23:29:46,2025-12-03T23:59:59.999999
S0001728,M000002,3-Idle,Idle,2025-12-03T23:59:59.999999,2025-12-04T05:09:06
S0000068,M000002,1-P,Productive,2025-12-04T05:09:06,2025-12-04T05:51:15
S0001729,M000002,3-Idle,Idle,2025-12-04T05:51:15,2025-12-04T12:58:58
S0000069,M000002,1-P,Productive,2025-12-04T12:58:58,2025-12-04T15:47:54
S0000070,M000002,2-Stand By,Stand By,2025-12-04T14:11:24,2025-12-04T15:09:29
S0001730,M000002,3-Idle,Idle,2025-12-04T15:09:29,2025-12-05T04:26:30
S0000071,M000002,1-P,Productive,2025-12-05T04:26:30,2025-12-05T09:33:25
S0001731,M000002,3-Idle,Idle,2025-12-05T09:33:25,2025-12-06T19:48:54
S0000072,M000002,2-Stand By,Stand By,2025-12-06T19:48:54,2025-12-06T20:21:31
S0001732,M000002,3-Idle,Idle,2025-12-06T20:21:31,2025-12-06T23:31:50
S0000073,M000002,1-P,Productive,2025-12-06T23:31:50,2025-12-06T23:59:59.999999
S0001733,M000002,3-Idle,Idle,2025-12-06T23:59:59.999999,2025-12-07T05:37:18
S0000074,M000002,2-Stand By,Stand By,2025-12-07T05:37:18,2025-12-07T06:35:17
S0001734,M000002,3-Idle,Idle,2025-12-07T06:35:17,2025-12-07T16:21:05
S0000075,M000002,1-P,Productive,2025-12-07T16:21:05,2025-12-07T19:59:45
S0000076,M000002,2-Stand By,Stand By,2025-12-07T19:08:58,2025-12-07T19:42:47
S0001735,M000002,3-Idle,Idle,2025-12-07T19:42:47,2025-12-08T09:19:45
S0000077,M000002,2-Stand By,Stand By,2025-12-08T09:19:45,2025-12-08T10:18:54
S0001736,M000002,3-Idle,Idle,2025-12-08T10:18:54,2025-12-08T21:54:36
S0000078,M000002,1-P,Productive,2025-12-08T21:54:36,2025-12-08T23:59:59.999999
S0001737,M000002,3-Idle,Idle,2025-12-08T23:59:59.999999,2025-12-09T18:11:48
S0000079,M000002,1-P,Productive,2025-12-09T18:11:48,2025-12-09T19:52:36
S0001738,M000002,3-Idle,Idle,2025-12-09T19:52:36,2025-12-10T08:26:19
S0000080,M000002,2-Stand By,Stand By,2025-12-10T08:26:19,2025-12-10T08:54:24
S0001739,M000002,3-Idle,Idle,2025-12-10T08:54:24,2025-12-10T14:30:16
S0000081,M000002,1-P,Productive,2025-12-10T14:30:16,2025-12-10T18:25:11
S0001740,M000002,3-Idle,Idle,2025-12-10T18:25:11,2025-12-11T17:12:12
S0000082,M000002,1-P,Productive,2025-12-11T17:12:12,2025-12-11T19:39:11
S0000083,M000002,1-P,Productive,2025-12-11T18:06:59,2025-12-11T19:39:11
S0001741,M000002,3-Idle,Idle,2025-12-11T19:39:11,2025-12-12T23:50:15
S0000084,M000002,2-Stand By,Stand By,2025-12-12T23:50:15,2025-12-12T23:59:59.999999
S0001742,M000002,3-Idle,Idle,2025-12-12T23:59:59.999999,2025-12-13T18:21:11
S0000085,M000002,2-Stand By,Stand By,2025-12-13T18:21:11,2025-12-13T19:08:51
S0001743,M000002,3-Idle,Idle,2025-12-13T19:08:51,2025-12-13T21:00:35
S0000086,M000002,2-Stand By,Stand By,2025-12-13T21:00:35,2025-12-13T21:35:11
S0001744,M000002,3-Idle,Idle,2025-12-13T21:35:11,2025-12-14T03:35:41
S0000087,M000002,1-P,Productive,2025-12-14T03:35:41,2025-12-14T08:02:03
S0001745,M000002,3-Idle,Idle,2025-12-14T08:02:03,2025-12-15T09:33:14
S0000088,M000002,2-Stand By,Stand By,2025-12-15T09:33:14,2025-12-15T10:23:36
S0000089,M000002,1-P,Productive,2025-12-15T10:18:59,2025-12-15T13:09:39
S0000090,M000003,1-P,Productive,2025-11-25T06:14:41,2025-11-25T09:25:09
S0001746,M000003,3-Idle,Idle,2025-11-25T09:25:09,2025-11-25T16:46:44
S0000091,M000003,2-Stand By,Stand By,2025-11-25T16:46:44,2025-11-25T17:27:36
S0001747,M000003,3-Idle,Idle,2025-11-25T17:27:36,2025-11-25T22:40:52
S0000092,M000003,1-P,Productive,2025-11-25T22:40:52,2025-11-25T23:59:59.999999
S0001748,M000003,3-Idle,Idle,2025-11-25T23:59:59.999999,2025-11-26T14:32:30
S0000093,M000003,2-Stand By,Stand By,2025-11-26T14:32:30,2025-11-26T15:26:27
S0001749,M000003,3-Idle,Idle,2025-11-26T15:26:27,2025-11-26T19:38:06
S0000094,M000003,2-Stand By,Stand By,2025-11-26T19:38:06,2025-11-26T19:46:19
S0001750,M000003,3-Idle,Idle,2025-11-26T19:46:19,2025-11-27T02:25:52
S0000095,M000003,1-P,Productive,2025-11-27T02:25:52,2025-11-27T04:25:35
S0001751,M000003,3-Idle,Idle,2025-11-27T04:25:35,2025-11-27T23:00:55
S0000096,M000003,1-P,Productive,2025-11-27T23:00:55,2025-11-27T23:59:59.999999
S0001752,M000003,3-Idle,Idle,2025-11-27T23:59:59.999999,2025-11-28T05:15:23
S0000097,M000003,1-P,Productive,2025-11-28T05:15:23,2025-11-28T06:18:22
S0001753,M000003,3-Idle,Idle,2025-11-28T06:18:22,2025-11-28T18:53:45
S0000098,M000003,1-P,Productive,2025-11-28T18:53:45,2025-11-28T23:59:59.999999
S0000099,M000003,2-Stand By,Stand By,2025-11-28T22:11:47,2025-11-28T23:03:59
S0001754,M000003,3-Idle,Idle,2025-11-28T23:03:59,2025-11-29T20:16:47
S0000100,M000003,1-P,Productive,2025-11-29T20:16:47,2025-11-29T23:59:59.999999
S0001755,M000003,3-Idle,Idle,2025-11-29T23:59:59.999999,2025-11-30T03:00:08
S0000101,M000003,1-P,Productive,2025-11-30T03:00:08,2025-11-30T04:56:35
S0001756,M000003,3-Idle,Idle,2025-11-30T04:56:35,2025-11-30T22:11:53
S0000102,M000003,1-P,Productive,2025-11-30T22:11:53,2025-11-30T23:42:59
S0001757,M000003,3-Idle,Idle,2025-11-30T23:42:59,2025-12-01T04:42:17
S0000103,M000003,2-Stand By,Stand By,2025-12-01T04:42:17,2025-12-01T05:22:42
S0001758,M000003,3-Idle,Idle,2025-12-01T05:22:42,2025-12-01T16:32:48
S0000104,M000003,1-P,Productive,2025-12-01T16:32:48,2025-12-01T18:47:50
S0001759,M000003,3-Idle,Idle,2025-12-01T18:47:50,2025-12-01T19:02:51
S0000105,M000003,1-P,Productive,2025-12-01T19:02:51,2025-12-01T20:25:04
S0001760,M000003,3-Idle,Idle,2025-12-01T20:25:04,2025-12-02T14:20:38
S0000106,M000003,1-P,Productive,2025-12-02T14:20:38,2025-12-02T16:15:22
S0001761,M000003,3-Idle,Idle,2025-12-02T16:15:22,2025-12-02T20:29:24
S0000107,M000003,1-P,Productive,2025-12-02T20:29:24,2025-12-02T21:49:27
S0001762,M000003,3-Idle,Idle,2025-12-02T21:49:27,2025-12-03T05:19:56
S0000108,M000003,1-P,Productive,2025-12-03T05:19:56,2025-12-03T10:36:16
S0001763,M000003,3-Idle,Idle,2025-12-03T10:36:16,2025-12-03T11:47:46
S0000109,M000003,1-P,Productive,2025-12-03T11:47:46,2025-12-03T17:39:34
S0001764,M000003,3-Idle,Idle,2025-12-03T17:39:34,2025-12-04T15:42:28
S0000110,M000003,2-Stand By,Stand By,2025-12-04T15:42:28,2025-12-04T16:11:53
S0001765,M000003,3-Idle,Idle,2025-12-04T16:11:53,2025-12-04T18:02:12
S0000111,M000003,2-Stand By,Stand By,2025-12-04T18:02:12,2025-12-04T18:54:35
S0001766,M000003,3-Idle,Idle,2025-12-04T18:54:35,2025-12-04T22:23:48
S0000112,M000003,2-Stand By,Stand By,2025-12-04T22:23:48,2025-12-04T23:23:08
S0001767,M000003,3-Idle,Idle,2025-12-04T23:23:08,2025-12-05T03:00:55
S0000113,M000003,2-Stand By,Stand By,2025-12-05T03:00:55,2025-12-05T03:12:41
S0001768,M000003,3-Idle,Idle,2025-12-05T03:12:41,2025-12-05T15:42:18
S0000114,M000003,1-P,Productive,2025-12-05T15:42:18,2025-12-05T17:24:11
S0001769,M000003,3-Idle,Idle,2025-12-05T17:24:11,2025-12-05T20:48:44
S0000115,M000003,2-Stand By,Stand By,2025-12-05T20:48:44,2025-12-05T21:30:55
S0001770,M000003,3-Idle,Idle,2025-12-05T21:30:55,2025-12-06T05:06:52
S0000116,M000003,2-Stand By,Stand By,2025-12-06T05:06:52,2025-12-06T05:22:13
S0001771,M000003,3-Idle,Idle,2025-12-06T05:22:13,2025-12-06T22:12:33
S0000117,M000003,2-Stand By,Stand By,2025-12-06T22:12:33,2025-12-06T22:43:14
S0001772,M000003,3-Idle,Idle,2025-12-06T22:43:14,2025-12-07T02:55:47
S0000118,M000003,1-P,Productive,2025-12-07T02:55:47,2025-12-07T05:51:33
S0001773,M000003,3-Idle,Idle,2025-12-07T05:51:33,2025-12-07T07:48:46
S0000119,M000003,2-Stand By,Stand By,2025-12-07T07:48:46,2025-12-07T08:06:04
S0001774,M000003,3-Idle,Idle,2025-12-07T08:06:04,2025-12-08T07:43:50
S0000120,M000003,2-Stand By,Stand By,2025-12-08T07:43:50,2025-12-08T07:54:35
S0001775,M000003,3-Idle,Idle,2025-12-08T07:54:35,2025-12-08T14:22:12
S0000121,M000003,2-Stand By,Stand By,2025-12-08T14:22:12,2025-12-08T15:06:12
S0001776,M000003,3-Idle,Idle,2025-12-08T15:06:12,2025-12-08T21:21:10
S0000122,M000003,1-P,Productive,2025-12-08T21:21:10,2025-12-08T23:59:59.999999
S0001777,M000003,3-Idle,Idle,2025-12-08T23:59:59.999999,2025-12-09T09:43:28
S0000123,M000003,2-Stand By,Stand By,2025-12-09T09:43:28,2025-12-09T10:00:30
S0001778,M000003,3-Idle,Idle,2025-12-09T10:00:30,2025-12-09T12:44:02
S0000124,M000003,1-P,Productive,2025-12-09T12:44:02,2025-12-09T14:49:58
S0001779,M000003,3-Idle,Idle,2025-12-09T14:49:58,2025-12-10T05:16:54
S0000125,M000003,2-Stand By,Stand By,2025-12-10T05:16:54,2025-12-10T05:30:24
S0001780,M000003,3-Idle,Idle,2025-12-10T05:30:24,2025-12-11T07:59:34
S0000126,M000003,2-Stand By,Stand By,2025-12-11T07:59:34,2025-12-11T08:52:54
S0001781,M000003,3-Idle,Idle,2025-12-11T08:52:54,2025-12-11T20:14:59
S0000127,M000003,1-P,Productive,2025-12-11T20:14:59,2025-12-11T22:36:17
S0000128,M000003,1-P,Productive,2025-12-11T22:12:39,2025-12-11T22:36:17
S0001782,M000003,3-Idle,Idle,2025-12-11T22:36:17,2025-12-12T07:21:13
S0000129,M000003,2-Stand By,Stand By,2025-12-12T07:21:13,2025-12-12T07:45:44
S0001783,M000003,3-Idle,Idle,2025-12-12T07:45:44,2025-12-13T03:33:39
S0000130,M000003,1-P,Productive,2025-12-13T03:33:39,2025-12-13T05:39:36
S0001784,M000003,3-Idle,Idle,2025-12-13T05:39:36,2025-12-13T14:51:54
S0000131,M000003,1-P,Productive,2025-12-13T14:51:54,2025-12-13T20:22:15
S0001785,M000003,3-Idle,Idle,2025-12-13T20:22:15,2025-12-14T06:03:44
S0000132,M000003,1-P,Productive,2025-12-14T06:03:44,2025-12-15T08:34:58
S0000133,M000003,5-Err,Error,2025-12-14T06:33:59,2025-12-15T07:10:03
S0000134,M000003,1-P,Productive,2025-12-15T07:10:03,2025-12-15T08:34:58
S0001786,M000003,3-Idle,Idle,2025-12-15T08:34:58,2025-12-15T15:50:59
S0000135,M000003,2-Stand By,Stand By,2025-12-15T15:50:59,2025-12-15T16:05:34
S0000136,M000004,2-Stand By,Stand By,2025-11-25T00:37:34,2025-11-25T00:57:16
S0001787,M000004,3-Idle,Idle,2025-11-25T00:57:16,2025-11-25T11:50:43
S0000137,M000004,1-P,Productive,2025-11-25T11:50:43,2025-11-25T16:59:22
S0001788,M000004,3-Idle,Idle,2025-11-25T16:59:22,2025-11-26T07:25:27
S0000138,M000004,1-P,Productive,2025-11-26T07:25:27,2025-11-26T13:13:32
S0001789,M000004,3-Idle,Idle,2025-11-26T13:13:32,2025-11-26T13:55:20
S0000139,M000004,1-P,Productive,2025-11-26T13:55:20,2025-11-26T18:08:25
S0001790,M000004,3-Idle,Idle,2025-11-26T18:08:25,2025-11-27T10:19:51
S0000140,M000004,1-P,Productive,2025-11-27T10:19:51,2025-11-27T15:47:28
S0001791,M000004,3-Idle,Idle,2025-11-27T15:47:28,2025-11-27T17:43:09
S0000141,M000004,1-P,Productive,2025-11-27T17:43:09,2025-11-27T21:04:40
S0001792,M000004,3-Idle,Idle,2025-11-27T21:04:40,2025-11-28T00:47:19
S0000142,M000004,2-Stand By,Stand By,2025-11-28T00:47:19,2025-11-28T01:30:56
S0001793,M000004,3-Idle,Idle,2025-11-28T01:30:56,2025-11-28T07:37:02
S0000143,M000004,1-P,Productive,2025-11-28T07:37:02,2025-11-28T09:42:26
S0001794,M000004,3-Idle,Idle,2025-11-28T09:42:26,2025-11-28T17:29:08
S0000144,M000004,2-Stand By,Stand By,2025-11-28T17:29:08,2025-11-28T17:52:05
S0001795,M000004,3-Idle,Idle,2025-11-28T17:52:05,2025-11-29T06:42:45
S0000145,M000004,1-P,Productive,2025-11-29T06:42:45,2025-11-29T07:54:46
S0000146,M000004,1-P,Productive,2025-11-29T07:11:16,2025-11-29T07:54:46
S0001796,M000004,3-Idle,Idle,2025-11-29T07:54:46,2025-11-30T00:39:12
S0000147,M000004,2-Stand By,Stand By,2025-11-30T00:39:12,2025-11-30T01:17:23
S0001797,M000004,3-Idle,Idle,2025-11-30T01:17:23,2025-11-30T07:55:17
S0000148,M000004,1-P,Productive,2025-11-30T07:55:17,2025-11-30T12:29:19
S0000149,M000004,1-P,Productive,2025-11-30T11:30:30,2025-11-30T12:29:19
S0001798,M000004,3-Idle,Idle,2025-11-30T12:29:19,2025-12-01T04:43:48
S0000150,M000004,2-Stand By,Stand By,2025-12-01T04:43:48,2025-12-01T04:45:59
S0001799,M000004,3-Idle,Idle,2025-12-01T04:45:59,2025-12-01T05:28:41
S0000151,M000004,1-P,Productive,2025-12-01T05:28:41,2025-12-01T10:51:41
S0001800,M000004,3-Idle,Idle,2025-12-01T10:51:41,2025-12-02T01:29:14
S0000152,M000004,2-Stand By,Stand By,2025-12-02T01:29:14,2025-12-02T02:26:31
S0001801,M000004,3-Idle,Idle,2025-12-02T02:26:31,2025-12-02T14:52:13
S0000153,M000004,1-P,Productive,2025-12-02T14:52:13,2025-12-02T15:12:00
S0001802,M000004,3-Idle,Idle,2025-12-02T15:12:00,2025-12-03T09:29:03
S0000154,M000004,2-Stand By,Stand By,2025-12-03T09:29:03,2025-12-03T10:02:56
S0001803,M000004,3-Idle,Idle,2025-12-03T10:02:56,2025-12-03T14:18:21
S0000155,M000004,2-Stand By,Stand By,2025-12-03T14:18:21,2025-12-03T14:29:44
S0001804,M000004,3-Idle,Idle,2025-12-03T14:29:44,2025-12-03T22:25:35
S0000156,M000004,2-Stand By,Stand By,2025-12-03T22:25:35,2025-12-03T22:52:35
S0001805,M000004,3-Idle,Idle,2025-12-03T22:52:35,2025-12-04T02:56:43
S0000157,M000004,1-P,Productive,2025-12-04T02:56:43,2025-12-04T06:17:14
S0001806,M000004,3-Idle,Idle,2025-12-04T06:17:14,2025-12-05T07:57:40
S0000158,M000004,1-P,Productive,2025-12-05T07:57:40,2025-12-05T13:44:51
S0001807,M000004,3-Idle,Idle,2025-12-05T13:44:51,2025-12-05T15:42:23
S0000159,M000004,2-Stand By,Stand By,2025-12-05T15:42:23,2025-12-05T16:40:11
S0001808,M000004,3-Idle,Idle,2025-12-05T16:40:11,2025-12-06T02:15:01
S0000160,M000004,1-P,Productive,2025-12-06T02:15:01,2025-12-06T07:26:41
S0001809,M000004,3-Idle,Idle,2025-12-06T07:26:41,2025-12-06T08:13:31
S0000161,M000004,2-Stand By,Stand By,2025-12-06T08:13:31,2025-12-06T08:36:35
S0001810,M000004,3-Idle,Idle,2025-12-06T08:36:35,2025-12-06T12:39:09
S0000162,M000004,1-P,Productive,2025-12-06T12:39:09,2025-12-06T18:17:36
S0001811,M000004,3-Idle,Idle,2025-12-06T18:17:36,2025-12-07T12:44:32
S0000163,M000004,2-Stand By,Stand By,2025-12-07T12:44:32,2025-12-07T13:41:16
S0001812,M000004,3-Idle,Idle,2025-12-07T13:41:16,2025-12-07T16:04:58
S0000164,M000004,2-Stand By,Stand By,2025-12-07T16:04:58,2025-12-07T16:13:41
S0001813,M000004,3-Idle,Idle,2025-12-07T16:13:41,2025-12-08T22:58:43
S0000165,M000004,1-P,Productive,2025-12-08T22:58:43,2025-12-08T23:59:59.999999
S0001814,M000004,3-Idle,Idle,2025-12-08T23:59:59.999999,2025-12-09T08:43:02
S0000166,M000004,2-Stand By,Stand By,2025-12-09T08:43:02,2025-12-09T09:32:25
