event_id,machine_nr,event_time,event_type,metric_value
E00000131,M000035,2025-11-25T09:44:25,test_started,
E00000132,M000035,2025-11-25T10:39:42,test_completed,90.343
E00000133,M000036,2025-11-25T05:59:54,test_started,
E00000134,M000036,2025-11-25T06:09:01,test_completed,62.24
E00000135,M000036,2025-11-25T11:50:59,test_started,
E00000136,M000036,2025-11-25T12:05:57,test_completed,11.919
E00000137,M000037,2025-11-25T04:17:58,test_started,
E00000138,M000037,2025-11-25T04:37:25,test_completed,24.822
E00000139,M000037,2025-11-25T14:51:46,lot_started,
E00000140,M000037,2025-11-25T19:41:19,lot_completed,43.877
E00000141,M000037,2025-11-25T19:26:39,lot_started,
E00000142,M000037,2025-11-25T23:59:59.999999,lot_completed,24.224
E00000143,M000038,2025-11-25T06:17:36,test_started,
E00000144,M000038,2025-11-25T06:28:13,test_completed,54.234
E00000145,M000038,2025-11-25T07:31:20,test_started,
E00000146,M000038,2025-11-25T07:53:04,test_completed,58.574
E00000147,M000039,2025-11-25T06:06:57,test_started,
E00000148,M000039,2025-11-25T06:40:57,test_completed,41.997
E00000149,M000039,2025-11-25T16:15:10,lot_started,
E00000150,M000039,2025-11-25T21:27:45,lot_completed,87.893
E00000151,M000040,2025-11-25T10:20:30,lot_started,
E00000152,M000040,2025-11-25T10:34:41,lot_completed,11.807
E00000153,M000001,2025-11-26T00:28:52,lot_started,
E00000154,M000001,2025-11-26T03:53:58,lot_completed,57.258
E00000155,M000001,2025-11-26T10:47:31,test_started,
E00000156,M000001,2025-11-26T11:17:51,test_completed,50.303
E00000157,M000001,2025-11-26T19:51:11,test_started,
E00000158,M000001,2025-11-26T20:43:28,test_completed,52.839
E00000159,M000002,2025-11-26T04:30:39,test_started,
E00000160,M000002,2025-11-26T05:20:09,test_completed,44.955
E00000161,M000003,2025-11-26T14:32:30,test_started,
E00000162,M000003,2025-11-26T15:26:27,test_completed,73.113
E00000163,M000003,2025-11-26T19:38:06,test_started,
E00000164,M000003,2025-11-26T19:46:19,test_completed,64.767
E00000165,M000004,2025-11-26T07:25:27,lot_started,
E00000166,M000004,2025-11-26T13:13:32,lot_completed,59.816
E00000167,M000004,2025-11-26T13:55:20,lot_started,
E00000168,M000004,2025-11-26T18:08:25,lot_completed,60.083
E00000169,M000005,2025-11-26T06:12:03,test_started,
E00000170,M000005,2025-11-26T06:54:52,test_completed,66.884
E00000171,M000005,2025-11-26T11:07:01,lot_started,
E00000172,M000005,2025-11-26T11:09:56,lot_completed,67.855
E00000173,M000005,2025-11-26T14:53:23,test_started,
E00000174,M000005,2025-11-26T15:21:32,test_completed,33.601
E00000175,M000006,2025-11-26T02:27:59,lot_started,
E00000176,M000006,2025-11-26T08:23:17,lot_completed,29.089
E00000177,M000006,2025-11-26T17:56:19,lot_started,
E00000178,M000006,2025-11-26T23:40:58,lot_completed,15.608
E00000179,M000006,2025-11-26T21:16:42,test_started,
E00000180,M000006,2025-11-26T22:10:37,test_completed,27.026
E00000181,M000007,2025-11-26T02:40:22,lot_started,
E00000182,M000007,2025-11-26T05:05:51,lot_completed,79.83
E00000183,M000008,2025-11-26T11:03:22,lot_started,
E00000184,M000008,2025-11-26T13:26:00,lot_completed,48.454
E00000185,M000008,2025-11-26T19:48:55,test_started,
E00000186,M000008,2025-11-26T20:24:15,test_completed,4.539
E00000187,M000009,2025-11-26T03:35:27,lot_started,
E00000188,M000009,2025-11-26T09:35:10,lot_completed,44.248
E00000189,M000009,2025-11-26T15:23:10,lot_started,
E00000190,M000009,2025-11-26T16:52:26,lot_completed,69.045
E00000191,M000009,2025-11-26T21:30:15,test_started,
E00000192,M000009,2025-11-26T22:14:09,test_completed,68.891
E00000193,M000010,2025-11-26T07:36:19,lot_started,
E00000194,M000010,2025-11-26T10:39:41,lot_completed,26.907
E00000195,M000010,2025-11-26T11:04:58,lot_started,
E00000196,M000010,2025-11-26T15:51:42,lot_completed,65.878
E00000197,M000010,2025-11-26T19:13:38,test_started,
E00000198,M000010,2025-11-26T19:49:03,test_completed,55.765
E00000199,M000011,2025-11-26T06:08:12,test_started,
E00000200,M000011,2025-11-26T06:53:16,test_completed,73.509
E00000201,M000012,2025-11-26T09:49:18,lot_started,
E00000202,M000012,2025-11-26T13:28:35,lot_completed,17.236
E00000203,M000012,2025-11-26T12:57:22,test_started,
E00000204,M000012,2025-11-26T13:57:02,test_completed,61.04
E00000205,M000012,2025-11-26T22:11:50,lot_started,
E00000206,M000012,2025-11-26T23:59:59.999999,lot_completed,70.669
E00000207,M000013,2025-11-26T01:06:42,test_started,
E00000208,M000013,2025-11-26T01:36:40,test_completed,93.312
E00000209,M000013,2025-11-26T14:39:29,lot_started,
E00000210,M000013,2025-11-26T16:24:11,lot_completed,7.254
E00000211,M000013,2025-11-26T22:39:46,lot_started,
E00000212,M000013,2025-11-26T23:59:59.999999,lot_completed,44.358
E00000213,M000014,2025-11-26T05:23:42,test_started,
E00000214,M000014,2025-11-26T06:00:08,test_completed,16.254
E00000215,M000014,2025-11-26T09:32:18,lot_started,
E00000216,M000014,2025-11-26T13:33:58,lot_completed,36.109
E00000217,M000014,2025-11-26T22:04:23,test_started,
E00000218,M000014,2025-11-26T22:21:18,test_completed,11.584
E00000219,M000015,2025-11-26T11:07:21,lot_started,
E00000220,M000015,2025-11-26T14:45:10,lot_completed,32.137
E00000221,M000016,2025-11-26T06:47:59,lot_started,
E00000222,M000016,2025-11-26T12:15:18,lot_completed,2.328
E00000223,M000017,2025-11-26T01:15:49,test_started,
E00000224,M000017,2025-11-26T02:04:22,test_completed,52.854
E00000225,M000018,2025-11-26T12:28:04,test_started,
E00000226,M000018,2025-11-26T12:36:37,test_completed,61.324
E00000227,M000018,2025-11-26T16:06:11,lot_started,
E00000228,M000018,2025-11-26T19:45:28,lot_completed,23.322
E00000229,M000018,2025-11-26T22:19:30,test_started,
E00000230,M000018,2025-11-26T22:45:47,test_completed,75.061
E00000231,M000019,2025-11-26T08:34:58,test_started,
E00000232,M000019,2025-11-26T09:07:02,test_completed,54.702
E00000233,M000020,2025-11-26T07:42:55,test_started,
E00000234,M000020,2025-11-26T08:05:57,test_completed,49.633
E00000235,M000020,2025-11-26T16:26:44,lot_started,
E00000236,M000020,2025-11-26T17:10:47,lot_completed,4.622
E00000237,M000021,2025-11-26T17:29:26,test_started,
E00000238,M000021,2025-11-26T17:56:05,test_completed,84.791
E00000239,M000022,2025-11-26T07:07:54,lot_started,
E00000240,M000022,2025-11-26T13:01:43,lot_completed,15.227
E00000241,M000022,2025-11-26T14:33:39,lot_started,
E00000242,M000022,2025-11-26T14:44:33,error,87.631
E00000243,M000023,2025-11-26T02:04:46,test_started,
E00000244,M000023,2025-11-26T02:14:08,test_completed,7.952
E00000245,M000023,2025-11-26T13:49:00,test_started,
E00000246,M000023,2025-11-26T13:50:29,test_completed,3.547
E00000247,M000023,2025-11-26T20:33:42,lot_started,
E00000248,M000023,2025-11-26T21:45:06,lot_completed,4.281
E00000249,M000024,2025-11-26T04:16:32,lot_started,
E00000250,M000024,2025-11-26T08:50:24,lot_completed,63.751
E00000251,M000024,2025-11-26T15:44:49,test_started,
E00000252,M000024,2025-11-26T16:32:12,test_completed,81.714
E00000253,M000025,2025-11-26T16:17:36,test_started,
E00000254,M000025,2025-11-26T16:40:36,test_completed,63.106
E00000255,M000026,2025-11-26T23:08:30,lot_started,
E00000256,M000026,2025-11-26T23:59:59.999999,lot_completed,93.517
E00000257,M000026,2025-11-26T23:21:36,lot_started,
E00000258,M000026,2025-11-26T23:59:59.999999,lot_completed,69.806
E00000259,M000027,2025-11-26T02:12:49,test_started,
E00000260,M000027,2025-11-26T02:50:03,test_completed,19.937
E00000261,M000027,2025-11-26T12:51:38,test_started,
E00000262,M000027,2025-11-26T13:37:21,test_completed,7.008
E00000263,M000027,2025-11-26T19:00:42,test_started,
E00000264,M000027,2025-11-26T19:51:56,test_completed,61.066
E00000265,M000028,2025-11-26T09:09:35,lot_started,
E00000266,M000028,2025-11-26T10:33:03,lot_completed,5.871
E00000267,M000029,2025-11-26T15:35:12,lot_started,
E00000268,M000029,2025-11-26T16:26:01,lot_completed,91.235
E00000269,M000030,2025-11-26T13:28:49,lot_started,
E00000270,M000030,2025-11-26T13:51:43,lot_completed,12.663
E00000271,M000030,2025-11-26T17:04:54,lot_started,
E00000272,M000030,2025-11-26T18:15:54,lot_completed,89.541
E00000273,M000030,2025-11-26T18:14:43,test_started,
E00000274,M000030,2025-11-26T18:16:53,test_completed,73.663
E00000275,M000031,2025-11-26T03:17:25,test_started,
E00000276,M000031,2025-11-26T03:23:46,test_completed,30.184
E00000277,M000031,2025-11-26T09:06:09,test_started,
E00000278,M000031,2025-11-26T09:10:37,test_completed,73.261
E00000279,M000032,2025-11-26T04:44:00,test_started,
E00000280,M000032,2025-11-26T05:39:35,test_completed,11.714
E00000281,M000032,2025-11-26T09:28:38,test_started,
E00000282,M000032,2025-11-26T09:35:33,test_completed,42.483
E00000283,M000033,2025-11-26T18:18:15,lot_started,
E00000284,M000033,2025-11-26T21:24:12,lot_completed,50.932
E00000285,M000034,2025-11-26T17:31:05,lot_started,
E00000286,M000034,2025-11-26T21:37:05,lot_completed,52.375
E00000287,M000034,2025-11-26T21:16:04,lot_started,
E00000288,M000034,2025-11-26T23:56:10,lot_completed,74.318
E00000289,M000035,2025-11-26T13:29:02,test_started,
E00000290,M000035,2025-11-26T14:05:06,test_completed,32.422
E00000291,M000036,2025-11-26T04:36:03,lot_started,
E00000292,M000036,2025-11-26T10:32:38,lot_completed,53.368
E00000293,M000036,2025-11-26T12:34:29,test_started,
E00000294,M000036,2025-11-26T12:55:20,test_completed,31.88
E00000295,M000037,2025-11-26T11:50:36,lot_started,
E00000296,M000037,2025-11-26T13:12:50,lot_completed,31.711
E00000297,M000037,2025-11-26T18:56:10,test_started,
E00000298,M000037,2025-11-26T19:50:14,test_completed,32.756
E00000299,M000038,2025-11-26T16:27:00,test_started,
E00000300,M000038,2025-11-26T17:00:14,test_completed,45.414
E00000301,M000039,2025-11-26T02:50:45,lot_started,
E00000302,M000039,2025-11-26T07:37:45,lot_completed,49.217
E00000303,M000039,2025-11-26T13:51:16,test_started,
E00000304,M000039,2025-11-26T14:45:17,test_completed,24.536
E00000305,M000040,2025-11-26T12:19:47,test_started,
E00000306,M000040,2025-11-26T12:47:45,test_completed,30.739
E00000307,M000040,2025-11-26T13:09:52,test_started,
E00000308,M000040,2025-11-26T13:46:41,test_completed,50.754
E00000309,M000040,2025-11-26T23:25:44,lot_started,
E00000310,M000040,2025-11-26T23:59:59.999999,lot_completed,56.278
E00000311,M000001,2025-11-27T06:43:15,test_started,
E00000312,M000001,2025-11-27T07:33:26,test_completed,61.97
E00000313,M000002,2025-11-27T19:52:07,test_started,
E00000314,M000002,2025-11-27T20:41:24,test_completed,10.694
E00000315,M000003,2025-11-27T02:25:52,lot_started,
E00000316,M000003,2025-11-27T04:25:35,lot_completed,64.324
E00000317,M000003,2025-11-27T23:00:55,lot_started,
E00000318,M000003,2025-11-27T23:59:59.999999,lot_completed,2.185
E00000319,M000004,2025-11-27T10:19:51,lot_started,
E00000320,M000004,2025-11-27T15:47:28,lot_completed,49.362
E00000321,M000004,2025-11-27T17:43:09,lot_started,
E00000322,M000004,2025-11-27T21:04:40,lot_completed,54.448
E00000323,M000005,2025-11-27T17:33:17,lot_started,
E00000324,M000005,2025-11-27T19:54:23,lot_completed,40.731
E00000325,M000006,2025-11-27T19:22:08,test_started,
E00000326,M000006,2025-11-27T19:57:44,test_completed,87.607
E00000327,M000007,2025-11-27T14:41:59,test_started,
E00000328,M000007,2025-11-27T14:45:13,test_completed,35.183
E00000329,M000008,2025-11-27T00:13:59,test_started,
E00000330,M000008,2025-11-27T01:01:59,test_completed,69.133
E00000331,M000008,2025-11-27T06:54:32,lot_started,
E00000332,M000008,2025-11-27T09:40:49,lot_completed,51.249
E00000333,M000009,2025-11-27T11:29:20,test_started,
E00000334,M000009,2025-11-27T12:05:42,test_completed,41.144
E00000335,M000009,2025-11-27T19:46:15,test_started,
E00000336,M000009,2025-11-27T20:27:53,test_completed,62.997
E00000337,M000009,2025-11-27T23:29:07,test_started,
E00000338,M000009,2025-11-27T23:59:59.999999,test_completed,30.191
E00000339,M000010,2025-11-27T05:06:32,lot_started,
E00000340,M000010,2025-11-27T05:12:46,lot_completed,99.453
E00000341,M000010,2025-11-27T16:10:19,lot_started,
E00000342,M000010,2025-11-27T19:50:56,lot_completed,28.155
E00000343,M000010,2025-11-27T21:20:43,lot_started,
E00000344,M000010,2025-11-27T22:10:53,lot_completed,84.634
E00000345,M000011,2025-11-27T09:47:22,test_started,
E00000346,M000011,2025-11-27T10:42:12,test_completed,78.154
E00000347,M000011,2025-11-27T16:54:25,test_started,
E00000348,M000011,2025-11-27T17:47:23,test_completed,33.654
E00000349,M000012,2025-11-27T04:14:31,test_started,
E00000350,M000012,2025-11-27T04:24:53,test_completed,41.519
E00000351,M000012,2025-11-27T17:36:42,lot_started,
E00000352,M000012,2025-11-27T19:59:49,lot_completed,36.777
E00000353,M000013,2025-11-27T21:27:57,test_started,
E00000354,M000013,2025-11-27T21:56:38,test_completed,25.792
E00000355,M000014,2025-11-27T09:57:51,test_started,
E00000356,M000014,2025-11-27T10:21:16,test_completed,77.7
E00000357,M000014,2025-11-27T10:27:33,test_started,
E00000358,M000014,2025-11-27T10:42:45,test_completed,71.547
E00000359,M000014,2025-11-27T15:19:09,test_started,
E00000360,M000014,2025-11-27T15:47:05,test_completed,71.618
E00000361,M000015,2025-11-27T02:20:46,lot_started,
E00000362,M000015,2025-11-27T03:43:28,lot_completed,22.923
E00000363,M000016,2025-11-27T03:45:35,test_started,
E00000364,M000016,2025-11-27T03:56:42,test_completed,47.979
E00000365,M000017,2025-11-27T14:31:54,lot_started,
E00000366,M000017,2025-11-27T15:21:35,lot_completed,42.769
E00000367,M000018,2025-11-27T20:00:36,lot_started,
E00000368,M000018,2025-11-27T23:10:56,lot_completed,4.703
E00000369,M000019,2025-11-27T03:45:22,lot_started,
E00000370,M000019,2025-11-27T06:18:36,lot_completed,17.904
E00000371,M000019,2025-11-27T15:16:41,lot_started,
E00000372,M000019,2025-11-27T21:09:32,lot_completed,8.719
E00000373,M000019,2025-11-27T20:07:41,test_started,
E00000374,M000019,2025-11-27T20:16:38,test_completed,66.87
E00000375,M000020,2025-11-27T18:07:48,test_started,
E00000376,M000020,2025-11-27T18:16:13,test_completed,60.611
E00000377,M000020,2025-11-27T18:29:20,test_started,
E00000378,M000020,2025-11-27T18:37:03,test_completed,14.913
E00000379,M000021,2025-11-27T06:05:05,test_started,
E00000380,M000021,2025-11-27T06:34:01,test_completed,74.318
E00000381,M000021,2025-11-27T07:19:31,test_started,
E00000382,M000021,2025-11-27T08:19:20,test_completed,49.248
E00000383,M000021,2025-11-27T18:57:34,lot_started,
E00000384,M000021,2025-11-27T23:59:59.999999,lot_completed,33.709
E00000385,M000022,2025-11-27T00:18:42,test_started,
E00000386,M000022,2025-11-27T01:07:35,test_completed,26.753
E00000387,M000022,2025-11-27T03:44:41,test_started,
E00000388,M000022,2025-11-27T04:05:39,test_completed,75.986
E00000389,M000023,2025-11-27T08:19:17,test_started,
E00000390,M000023,2025-11-27T08:38:14,test_completed,70.626
E00000391,M000024,2025-11-27T04:44:25,test_started,
E00000392,M000024,2025-11-27T04:58:14,test_completed,40.772
E00000393,M000024,2025-11-27T05:24:02,lot_started,
E00000394,M000024,2025-11-27T10:57:37,lot_completed,50.937
E00000395,M000025,2025-11-27T09:50:10,test_started,
E00000396,M000025,2025-11-27T10:38:08,test_completed,30.58
E00000397,M000025,2025-11-27T10:11:12,test_started,
E00000398,M000025,2025-11-27T10:26:20,test_completed,49.876
E00000399,M000026,2025-11-27T08:47:55,lot_started,
E00000400,M000026,2025-11-27T10:27:52,lot_completed,73.921
E00000401,M000026,2025-11-27T12:19:14,test_started,
E00000402,M000026,2025-11-27T12:56:14,test_completed,14.943
E00000403,M000026,2025-11-27T17:07:55,test_started,
E00000404,M000026,2025-11-27T17:44:29,test_completed,69.011
E00000405,M000027,2025-11-27T07:45:42,test_started,
E00000406,M000027,2025-11-27T08:18:59,test_completed,33.004
E00000407,M000027,2025-11-27T11:28:55,lot_started,
E00000408,M000027,2025-11-27T13:49:58,lot_completed,22.503
E00000409,M000027,2025-11-27T22:39:58,lot_started,
E00000410,M000027,2025-11-27T23:44:23,lot_completed,22.625
E00000411,M000028,2025-11-27T18:18:51,test_started,
E00000412,M000028,2025-11-27T18:48:10,test_completed,32.764
E00000413,M000029,2025-11-27T11:06:56,lot_started,
E00000414,M000029,2025-11-27T13:10:32,lot_completed,28.017
E00000415,M000030,2025-11-27T09:47:48,test_started,
E00000416,M000030,2025-11-27T09:49:52,test_completed,12.166
E00000417,M000030,2025-11-27T12:25:05,test_started,
E00000418,M000030,2025-11-27T12:35:06,test_completed,11.34
E00000419,M000030,2025-11-27T21:53:12,lot_started,
E00000420,M000030,2025-11-27T22:16:36,lot_completed,34.7
E00000421,M000031,2025-11-27T03:45:27,test_started,
E00000422,M000031,2025-11-27T04:07:35,test_completed,24.895
E00000423,M000032,2025-11-27T01:08:05,lot_started,
E00000424,M000032,2025-11-27T04:47:10,lot_completed,37.206
E00000425,M000032,2025-11-27T01:48:42,lot_started,
E00000426,M000032,2025-11-27T04:49:16,lot_completed,27.363
E00000427,M000032,2025-11-27T13:10:16,test_started,
E00000428,M000032,2025-11-27T13:18:25,test_completed,35.236
E00000429,M000033,2025-11-27T04:35:01,test_started,
E00000430,M000033,2025-11-27T04:41:44,test_completed,67.9
E00000431,M000033,2025-11-27T09:52:10,test_started,
E00000432,M000033,2025-11-27T10:31:11,test_completed,41.872
E00000433,M000033,2025-11-27T22:04:10,test_started,
E00000434,M000033,2025-11-27T22:25:13,test_completed,89.832
E00000435,M000034,2025-11-27T04:50:48,lot_started,
E00000436,M000034,2025-11-27T05:51:48,lot_completed,17.515
E00000437,M000034,2025-11-27T11:01:11,lot_started,
E00000438,M000034,2025-11-27T13:32:05,lot_completed,54.596
E00000439,M000034,2025-11-27T19:59:34,test_started,
E00000440,M000034,2025-11-27T20:36:51,test_completed,27.093
E00000441,M000035,2025-11-27T04:35:24,test_started,
E00000442,M000035,2025-11-27T05:24:17,test_completed,10.375
E00000443,M000035,2025-11-27T09:31:47,test_started,
E00000444,M000035,2025-11-27T09:36:59,test_completed,65.442
E00000445,M000035,2025-11-27T17:13:47,test_started,
E00000446,M000035,2025-11-27T17:51:28,test_completed,55.549
E00000447,M000036,2025-11-27T01:06:26,test_started,
E00000448,M000036,2025-11-27T01:37:20,test_completed,68.241
E00000449,M000036,2025-11-27T18:28:20,lot_started,
E00000450,M000036,2025-11-27T23:45:41,lot_completed,14.193
E00000451,M000036,2025-11-27T21:08:49,lot_started,
E00000452,M000036,2025-11-27T23:59:59.999999,lot_completed,36.509
E00000453,M000037,2025-11-27T05:39:55,test_started,
E00000454,M000037,2025-11-27T06:37:17,test_completed,43.972
E00000455,M000037,2025-11-27T05:49:01,lot_started,
E00000456,M000037,2025-11-27T07:09:17,lot_completed,26.976
E00000457,M000038,2025-11-27T00:17:52,lot_started,
E00000458,M000038,2025-11-27T06:09:59,lot_completed,13.258
E00000459,M000038,2025-11-27T21:58:46,lot_started,
E00000460,M000038,2025-11-27T23:59:59.999999,lot_completed,59.856
E00000461,M000038,2025-11-27T23:15:38,test_started,
E00000462,M000038,2025-11-27T23:34:58,test_completed,93.353
E00000463,M000039,2025-11-27T14:47:12,test_started,
E00000464,M000039,2025-11-27T14:51:20,test_completed,9.919
E00000465,M000039,2025-11-27T22:03:20,lot_started,
E00000466,M000039,2025-11-27T22:04:39,lot_completed,81.219
E00000467,M000040,2025-11-27T21:23:10,lot_started,
E00000468,M000040,2025-11-27T23:59:59.999999,lot_completed,55.103
E00000469,M000001,2025-11-28T12:58:36,lot_started,
E00000470,M000001,2025-11-28T18:39:10,lot_completed,23.981
E00000471,M000001,2025-11-28T17:15:16,test_started,
